Purchase,Bestellen
Supply Needs,Leverancier bestelling lijst
Supplier,Leverancier
Manufacturer,Fabrikant
Status,Status
Refresh,Herladen
Reset,Reset
Create,Maken
Needed Qty,Benodigde aantal
Suppliers,Leveranciers
Create Order and Add Selected Products,Maak een bestelling en selecteer producten
Current stock,Actuele voorraad
Stock Mini,Minimale voorraad
Ordered Qty,Bestelde aantal
Needed Qty,Benodigde aantal
Already Ordered Qty,Al bestelde aantal
Orders,Bestellingen
Products,Producten
Manufacturers,Fabrikanten
Contacts,Contacts
Delivery Date,Leveringsdatum
Sent,Verstuur
Payment Date,Betalingsdatum
Finished,Voltooid
Orders List,Bestelling lijst
Payment Type,Betaal methode
Currency,Valuta
Currency Change Rate,Valuta wisselkoers
Shipping Cost,Verzendkosten
Zoll Cost,Tol koste
Invoice Ref,Factuur nr.
Deliveries,Leveringen
Qty,Aantal
Create New Delivery,Levering aanmaken
Supplier Ref,Leverancier nr.
Delivered Qty,Geleverde items
Price HT,Prijs Ex. BTW
Last Price HT,Laatste prijs Ex. BTW
Unit Price + Costs,Product prijs + kosten
Delete,Verwijderen
Import From Supply Needs,Importeren
Please fill delivery date field,Geef a.u.b. de ontvangstdatum op
Buy Price,Inkoopprijs
Sell Price,Verkoopprijs
Margin %,Marge %
Products List,Producten lijst
Qty Needed,Benodigde aantal
Edit Product,Product aanpassen
Stock Summary,Voorraad aanduiding
Pricer,Prijs
Update Stock,Voorraad updaten
Compute Buy Price,Bereken koop price
Associated Manufacturers,Gekoppelde Fabrikanten
Associated Suppliers,Gekoppelde Leveranciers
Supply Orders,Bestellingen bij leveranciers
Stock Movements,Mouvements de Stock
Waiting For Delivery Qty,Aantal wachtend op levering
Sell Price HT,Verkoopprijs Ex. BTW
Sell Price TTC,Verkoopprijs Inc. BTW
Edit,Aanpassen
Last Price,Laatste prijs
Name,Naam
Add Supplier,Leverancier toevoegen
Supplier Reference,Leverancier Omschrijving
Price Position,Prijs positie
Save,Opslaan
Add,Toevoegen
Add Manufacturer,Fabrikant Toevoegen
Manufacturer Reference,Fabrikant Omschrijving
Unit Price + Cost,Itemprijs + kosten
Manufacturers List,Fabrikanten lijst
Phone,Telefoon
Edit Manufacturer,Fabrikant aanpassen
City,Stad
Country,Land
Main Contact,Contactpersoon
Address 1,Adres 1
Address 2,Adres 2
Zip Code,Postcode
Website,Website
Magento Manufacturer,Magento Fabrikant
Function,Functie
Edit Contact,Contact info aanpassen
Entity,Entity
Supplier List,Leverancieren lijst
Edit Supplier,Leverancier aanpassen
